t_sec,north,east,up
0.000000000000000000e+00,-2.010273694992065430e+00,-1.722452044486999512e+00,-2.578086853027343750e+00
2.030500000000000083e-01,-2.011320352554321289e+00,-1.721041440963745117e+00,-2.580734252929687500e+00
3.000050000000000217e-01,-2.010652303695678711e+00,-1.720808386802673340e+00,-2.581474304199218750e+00
4.061069999999999958e-01,-2.009408235549926758e+00,-1.721198916435241699e+00,-2.582023620605468750e+00
5.027509999999999479e-01,-2.010241031646728516e+00,-1.721018552780151367e+00,-2.583244323730468750e+00
5.997430000000000261e-01,-2.011792659759521484e+00,-1.721992731094360352e+00,-2.584075927734375000e+00
7.062279999999999669e-01,-2.013145923614501953e+00,-1.723426222801208496e+00,-2.584838867187500000e+00
8.029490000000000238e-01,-2.013534545898437500e+00,-1.724898934364318848e+00,-2.585983276367187500e+00
9.087979999999999947e-01,-2.012440919876098633e+00,-1.726894497871398926e+00,-2.587120056152343750e+00
1.005419999999999980e+00,-2.012440919876098633e+00,-1.727386832237243652e+00,-2.588081359863281250e+00
1.102154000000000078e+00,-2.013446569442749023e+00,-1.728835821151733398e+00,-2.589691162109375000e+00
1.198876999999999970e+00,-2.014384984970092773e+00,-1.731222033500671387e+00,-2.591522216796875000e+00
1.305180999999999925e+00,-2.014771461486816406e+00,-1.734533667564392090e+00,-2.593696594238281250e+00
1.401818000000000008e+00,-2.016029596328735352e+00,-1.738761186599731445e+00,-2.595306396484375000e+00
1.498478999999999894e+00,-2.015848398208618164e+00,-1.743489384651184082e+00,-2.598045349121093750e+00
1.604958000000000107e+00,-2.016286373138427734e+00,-1.748057961463928223e+00,-2.600875854492187500e+00
1.701618999999999993e+00,-2.016350269317626953e+00,-1.752306461334228516e+00,-2.602844238281250000e+00
1.807898999999999923e+00,-2.015542745590209961e+00,-1.757501006126403809e+00,-2.604606628417968750e+00
1.904557999999999973e+00,-2.015611886978149414e+00,-1.761601328849792480e+00,-2.606834411621093750e+00
2.001193999999999917e+00,-2.014902830123901367e+00,-1.765379190444946289e+00,-2.609390258789062500e+00
2.107641999999999793e+00,-2.015501976013183594e+00,-1.769445538520812988e+00,-2.612251281738281250e+00
2.204349999999999810e+00,-2.015604734420776367e+00,-1.772235155105590820e+00,-2.614334106445312500e+00
2.301022999999999818e+00,-2.014747381210327148e+00,-1.773769736289978027e+00,-2.615615844726562500e+00
2.407452000000000147e+00,-2.014453887939453125e+00,-1.773999333381652832e+00,-2.616432189941406250e+00
2.504221999999999948e+00,-2.013850450515747070e+00,-1.773334026336669922e+00,-2.617538452148437500e+00
2.600957999999999881e+00,-2.013236284255981445e+00,-1.771602630615234375e+00,-2.618362426757812500e+00
2.707143999999999995e+00,-2.013109683990478516e+00,-1.769540548324584961e+00,-2.618888854980468750e+00
2.804000999999999966e+00,-2.012607574462890625e+00,-1.768058061599731445e+00,-2.619865417480468750e+00
2.900386999999999826e+00,-2.012270689010620117e+00,-1.768010735511779785e+00,-2.620468139648437500e+00
3.006778999999999868e+00,-2.010494232177734375e+00,-1.770701050758361816e+00,-2.618598937988281250e+00
3.103502000000000205e+00,-2.008461236953735352e+00,-1.772940993309020996e+00,-2.615226745605468750e+00
3.200099999999999945e+00,-2.008141756057739258e+00,-1.772517681121826172e+00,-2.610054016113281250e+00
3.306490000000000151e+00,-2.011737585067749023e+00,-1.768688082695007324e+00,-2.605163574218750000e+00
3.403134999999999799e+00,-2.017985582351684570e+00,-1.764270186424255371e+00,-2.605041503906250000e+00
3.509644000000000208e+00,-2.027410984039306641e+00,-1.760332107543945312e+00,-2.607292175292968750e+00
3.606291000000000135e+00,-2.033942937850952148e+00,-1.761158466339111328e+00,-2.609962463378906250e+00
