timestamps,OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
1773826860,0m 0.0s,0.0,51.17890000,-1.82620000,0.0,0.0,0.0,180.0,0.0,0.000,0.000,0.000,,0.000,,-0.000,,0.20,0.10,45.0,45.0,,Starting Motors,,,18,4,TRUE,,Mini 4 Pro,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,8.164,,,,,,,1.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17890000,-1.82620000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,CAM3SNAYZ67FMNFC6,RCS72UWNCB2X59YSD,BAT9SBRNFB47JEYZD,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,,,,DJI Fly,,1.13.5,7620C74E-1616-5CF7-B130-32E3F2C50061,,,,,,,,,,
1773826861,0m 1.0s,1.0,51.17890000,-1.82620000,0.0,0.0,0.0,180.0,0.0,0.000,0.000,0.000,,0.000,,-0.000,,0.20,0.10,45.0,45.0,,Starting Motors,,,18,4,TRUE,,Mini 4 Pro,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,8.164,,,,,,,1.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17890000,-1.82620000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,CAM3SNAYZ67FMNFC6,RCS72UWNCB2X59YSD,BAT9SBRNFB47JEYZD,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,,,,DJI Fly,,1.13.5,7620C74E-1616-5CF7-B130-32E3F2C50061,,,,,,,,,,
1773826862,0m 2.0s,2.0,51.17890000,-1.82620000,0.0,0.0,0.0,180.0,0.0,0.000,0.000,0.000,,0.000,,-0.000,,0.20,0.10,45.0,45.0,,Starting Motors,,,18,4,TRUE,,Mini 4 Pro,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,8.164,,,,,,,1.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17890000,-1.82620000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,CAM3SNAYZ67FMNFC6,RCS72UWNCB2X59YSD,BAT9SBRNFB47JEYZD,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,,,,DJI Fly,,1.13.5,7620C74E-1616-5CF7-B130-32E3F2C50061,,,,,,,,,,
1773826863,0m 3.0s,3.0,51.17890000,-1.82620000,0.0,0.0,0.0,180.0,0.0,0.000,0.000,0.000,,0.000,,-0.000,,0.20,0.10,45.0,45.0,,Starting Motors,,,18,4,TRUE,,Mini 4 Pro,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,8.164,,,,,,,1.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17890000,-1.82620000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,CAM3SNAYZ67FMNFC6,RCS72UWNCB2X59YSD,BAT9SBRNFB47JEYZD,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,,,,DJI Fly,,1.13.5,7620C74E-1616-5CF7-B130-32E3F2C50061,,,,,,,,,,
1773826864,0m 4.0s,4.0,51.17890000,-1.82620000,0.0,0.0,0.0,180.0,0.0,0.000,0.000,0.000,,0.000,,-0.000,,0.20,0.10,45.0,45.0,,Starting Motors,,,18,4,TRUE,,Mini 4 Pro,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,8.164,,,,,,,1.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17890000,-1.82620000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,CAM3SNAYZ67FMNFC6,RCS72UWNCB2X59YSD,BAT9SBRNFB47JEYZD,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,,,,DJI Fly,,1.13.5,7620C74E-1616-5CF7-B130-32E3F2C50061,,,,,,,,,,
1773826865,0m 5.0s,5.0,51.17890000,-1.82620000,0.0,0.0,0.0,180.0,0.0,0.000,0.000,0.000,,0.000,,-0.000,,0.20,0.10,45.0,45.0,,Starting Motors,,,18,4,TRUE,,Mini 4 Pro,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,8.163,,,,,,,1.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17890000,-1.82620000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,CAM3SNAYZ67FMNFC6,RCS72UWNCB2X59YSD,BAT9SBRNFB47JEYZD,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,,,,DJI Fly,,1.13.5,7620C74E-1616-5CF7-B130-32E3F2C50061,,,,,,,,,,
1773826866,0m 6.0s,6.0,51.17890000,-1.82620000,0.0,0.0,0.0,180.0,0.0,0.000,0.000,0.000,,0.000,,-0.000,,0.20,0.10,45.0,45.0,,Starting Motors,,,18,4,TRUE,,Mini 4 Pro,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,8.163,,,,,,,1.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17890000,-1.82620000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,CAM3SNAYZ67FMNFC6,RCS72UWNCB2X59YSD,BAT9SBRNFB47JEYZD,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,,,,DJI Fly,,1.13.5,7620C74E-1616-5CF7-B130-32E3F2C50061,,,,,,,,,,
1773826867,0m 7.0s,7.0,51.17890000,-1.82620000,0.0,0.0,0.0,180.0,0.0,0.000,0.000,0.000,,0.000,,-0.000,,0.20,0.10,45.0,45.0,,Starting Motors,,,18,4,TRUE,,Mini 4 Pro,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,8.163,,,,,,,1.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17890000,-1.82620000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,CAM3SNAYZ67FMNFC6,RCS72UWNCB2X59YSD,BAT9SBRNFB47JEYZD,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,,,,DJI Fly,,1.13.5,7620C74E-1616-5CF7-B130-32E3F2C50061,,,,,,,,,,
1773826868,0m 8.0s,8.0,51.17890000,-1.82620000,7.9,7.9,7.9,187.9,0.0,0.000,0.000,0.000,,0.000,,-5.369,,9.60,0.00,45.0,45.0,,Auto Takeoff,,,18,4,TRUE,,Mini 4 Pro,,,,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9,,,,8.163,,,,,,,12.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17890000,-1.82620000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,CAM3SNAYZ67FMNFC6,RCS72UWNCB2X59YSD,BAT9SBRNFB47JEYZD,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,,,,DJI Fly,,1.13.5,7620C74E-1616-5CF7-B130-32E3F2C50061,,,,,,,,,,
1773826869,0m 9.0s,9.0,51.17890000,-1.82620000,15.7,15.7,15.7,195.7,0.0,0.000,0.000,0.000,,0.000,,-5.369,,9.60,0.00,45.0,45.0,,Auto Takeoff,,,18,4,TRUE,,Mini 4 Pro,,,,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9,,,,8.163,,,,,,,12.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17890000,-1.82620000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,CAM3SNAYZ67FMNFC6,RCS72UWNCB2X59YSD,BAT9SBRNFB47JEYZD,,,,,,,,Mini 4 Pro,SYNEQZTKWBD84VGCB,,,,DJI Fly,,1.13.5,7620C74E-1616-5CF7-B130-32E3F2C50061,,,,,,,,,,
